Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
Austria,Orth an der Donau,48.14,16.70,aboveground,adult morphology + ACE,,72,4,66,2,0.06,0.92,0.03,0.07,0.93,0.785,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Strasshof,48.32,16.67,aboveground,adult morphology + ACE,,64,0,62,2,0.00,0.97,0.03,0.02,0.98,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Tulln,48.35,16.26,aboveground,adult morphology + ACE,,29,1,27,1,0.03,0.93,0.03,0.05,0.95,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Donauinsel,48.21,16.44,aboveground,adult morphology + ACE,,20,2,18,0,0.10,0.90,0.00,0.10,0.90,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Kaisermühlen,48.21,16.45,aboveground,adult morphology + ACE,X,256,11,220,25,0.04,0.86,0.10,0.09,0.91,0.414,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Klosterneuburg site 1,48.32,16.32,aboveground,adult morphology + ACE,,18,1,15,2,0.06,0.83,0.11,0.11,0.89,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Klosterneuburg site 2,48.35,16.27,aboveground,adult morphology + ACE,,63,1,62,0,0.02,0.98,0.00,0.02,0.98,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Klosterneuburg site 3,48.31,16.29,aboveground,adult morphology + ACE,,29,0,27,2,0.00,0.93,0.07,0.03,0.97,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Marchegg site 1,48.28,16.91,aboveground,adult morphology + ACE,X,137,4,131,2,0.03,0.96,0.01,0.04,0.96,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Marchegg site 2,48.27,16.90,aboveground,adult morphology + ACE,,33,2,28,3,0.06,0.85,0.09,0.11,0.89,0.521,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
France,Prades le Lez,43.70,3.86,aboveground,adult morphology + ACE + COI ,X,38,3,30,5,0.08,0.79,0.13,0.15,0.86,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
